FILE_NAME,CATEGORY,TOTAL_TOKENS(excluding_spaces),TOTAL_SENTENCES,TOTAL_LINES,TOTAL_WORDS,UNIQUE_WORDS
Seed-Quality.txt,Agri-Inputs,1351,49,113,1351,485
Seed-Treatment.txt,Agri-Inputs,891,48,158,891,320
Solar-Insect-Trapper.txt,Agri-Inputs,133,5,29,133,98
Spider-Multiplication.txt,Agri-Inputs,395,16,37,395,194
Sprinkler-Irrigation-System.txt,Agri-Inputs,769,42,125,769,351
Sulfur-oxidizing-bacteria-and-its-application-in-agriculture.txt,Agri-Inputs,969,57,33,969,407
Sulphur-coated-Urea.txt,Agri-Inputs,391,21,21,391,175
Support-from-Government.txt,Agri-Inputs,314,9,17,314,156
White-board-traps-for-snails.txt,Agri-Inputs,76,5,11,76,58
White-sticky-traps.txt,Agri-Inputs,246,15,39,246,119
Yellow-sticky-traps.txt,Agri-Inputs,257,16,38,257,123
Crop-Insurance.txt,Agri-Insurance,570,23,24,570,268
General-Insurance-Companies-empanelled-under-Crop-Insurance-Schemes.txt,Agri-Insurance,585,10,135,585,299
Livestock-Insurance.txt,Agri-Insurance,976,29,46,976,341
PM-Kisan-Maandhan-Yojana.txt,Agri-Insurance,1329,42,195,1329,501
Pradhan-Mantri-Fasal-Bima-Yojana.txt,Agri-Insurance,1844,66,156,1844,639
Revenue-Insurance-Scheme-for-Plantation-Crops.txt,Agri-Insurance,2051,60,130,2051,648
Unified-Package-Insurance-Scheme-.txt,Agri-Insurance,5436,199,353,5436,1135
Weather-Based-Crop-Insurance.txt,Agri-Insurance,1311,39,100,1311,432
About-Bee-Keeping.txt,Agro-enterprises,1528,70,90,1528,566
Advisory-on-Good-Beekeeping-Practices-(GBPs).txt,Agro-enterprises,2196,133,150,2196,745
Bee-Hive.txt,Agro-enterprises,1040,72,91,1040,439
Bee-Swarm.txt,Agro-enterprises,1167,65,70,1167,471
Beekeeping-Checklist.txt,Agro-enterprises,199,19,28,199,108
Button-mushroom-production.txt,Agro-enterprises,1895,91,57,1895,689
Chawki-rearing.txt,Agro-enterprises,280,13,18,280,160
Diseases-of-Honeybee.txt,Agro-enterprises,3183,155,65,3183,966
Do_s-and-Don_ts-in-Beekeeping.txt,Agro-enterprises,525,42,64,525,252
Dry-flower-production.txt,Agro-enterprises,693,39,72,693,324
Eco-paper-Production.txt,Agro-enterprises,1663,63,89,1663,631
Economics-of-cocoon-production.txt,Agro-enterprises,594,15,404,594,303
Floriculture.txt,Agro-enterprises,2488,113,44,2488,882
Hydroponics.txt,Crop-Production,656,34,54,656,339
Insect-of-Honeybee.txt,Agro-enterprises,5877,268,200,5877,1534
Kitchen-Garden.txt,Agro-enterprises,1061,44,82,1061,469
Modern-Nursery.txt,Agro-enterprises,1210,71,98,1210,481
Mulberry-cultivation.txt,Agro-enterprises,677,29,43,677,315
